Gene Description,Gene Accession Number,1,call,2,call,3,call,4,call,5,call,6,call,7,call,8,call,9,call,10,call,11,call,12,call,13,call,14,call,15,call,16,call,17,call,18,call,19,call,20,call,21,call,22,call,23,call,24,call,25,call,26,call,27,call,34,call,35,call,36,call,37,call,38,call,28,call,29,call,30,call,31,call,32,call,33,call;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at,-214,A,-139,A,-76,A,-135,A,-106,A,-138,A,-72,A,-413,A,5,A,-88,A,-165,A,-67,A,-92,A,-113,A,-107,A,-117,A,-476,A,-81,A,-44,A,17,A,-144,A,-247,A,-74,A,-120,A,-81,A,-112,A,-273,A,-20,A,7,A,-213,A,-25,A,-72,A,-4,A,15,A,-318,A,-32,A,-124,A,-135,A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFFX-BioB-M_at (endogenous control),AFFX-BioB-M_at,-153,A,-73,A,-49,A,-114,A,-125,A,-85,A,-144,A,-260,A,-127,A,-105,A,-155,A,-93,A,-119,A,-147,A,-72,A,-219,A,-213,A,-150,A,-51,A,-229,A,-199,A,-90,A,-321,A,-263,A,-150,A,-233,A,-327,A,-207,A,-100,A,-252,A,-20,A,-139,A,-116,A,-114,A,-192,A,-49,A,-79,A,-186,A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFFX-BioB-3_at (endogenous control),AFFX-BioB-3_at,-58,A,-1,A,-307,A,265,A,-76,A,215,A,238,A,7,A,106,A,42,A,-71,A,84,A,-31,A,-118,A,-126,A,-50,A,-18,A,-119,A,100,A,79,A,-157,A,-168,A,-11,A,-114,A,-85,A,-78,A,-76,A,-50,A,-57,A,136,A,124,A,-1,A,-125,A,2,A,-95,A,49,A,-37,A,-70,A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFFX-BioC-5_at (endogenous control),AFFX-BioC-5_at,88,A,283,A,309,A,12,A,168,A,71,A,55,A,-2,A,268,A,219,M,82,A,25,A,173,A,243,M,149,A,257,A,301,A,78,A,207,A,218,A,132,A,-24,A,-36,A,255,A,316,A,54,A,81,A,101,A,132,A,318,A,325,A,392,P,241,A,193,A,312,A,230,P,330,A,337,A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFFX-BioC-3_at (endogenous control),AFFX-BioC-3_at,-295,A,-264,A,-376,A,-419,A,-230,A,-272,A,-399,A,-541,A,-210,A,-178,A,-163,A,-179,A,-233,A,-127,A,-205,A,-218,A,-403,A,-152,A,-146,A,-262,A,-151,A,-308,A,-317,A,-342,A,-418,A,-244,A,-439,A,-369,A,-377,A,-209,A,-396,A,-324,A,-191,A,-51,A,-139,A,-367,A,-188,A,-407,A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFFX-BioDn-5_at (endogenous control),AFFX-BioDn-5_at,-558,A,-400,A,-650,A,-585,A,-284,A,-558,A,-551,A,-790,A,-535,A,-246,A,-430,A,-323,A,-227,A,-398,A,-284,A,-402,A,-394,A,-340,A,-221,A,-404,A,-347,A,-571,A,-499,A,-396,A,-461,A,-275,A,-616,A,-529,A,-478,A,-557,A,-464,A,-510,A,-411,A,-155,A,-344,A,-508,A,-423,A,-566,A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFFX-BioDn-3_at (endogenous control),AFFX-BioDn-3_at,199,A,-330,A,33,A,158,A,4,A,67,A,131,A,-275,A,-0,A,328,A,100,A,-135,A,-49,A,-249,A,-166,A,228,A,-42,A,-36,A,83,A,326,A,-118,A,-170,A,-138,A,-412,A,-66,A,-479,A,419,A,14,A,-351,A,40,A,-221,A,-350,A,-31,A,29,A,324,A,-349,A,-31,A,-141,A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFFX-CreX-5_at (endogenous control),AFFX-CreX-5_at,-176,A,-168,A,-367,A,-253,A,-122,A,-186,A,-179,A,-463,A,-174,A,-148,A,-109,A,-127,A,-62,A,-228,A,-185,A,-147,A,-144,A,-141,A,-198,A,-201,A,-24,A,-224,A,-119,A,-153,A,-184,A,-108,A,-251,A,-365,A,-290,A,-243,A,-390,A,-202,A,-240,A,-105,A,-237,A,-194,A,-223,A,-315,A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFFX-CreX-3_at (endogenous control),AFFX-CreX-3_at,252,A,101,A,206,A,49,A,70,A,87,A,126,A,70,A,24,A,177,A,56,A,-2,A,13,A,-37,A,1,A,65,A,98,A,96,A,34,A,6,A,126,A,124,A,115,A,184,A,164,A,136,A,165,A,153,A,283,A,119,A,-1,A,249,A,150,A,42,A,105,A,34,A,-82,A,206,A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFFX-BioB-5_st (endogenous control),AFFX-BioB-5_st,206,A,74,A,-215,A,31,A,252,A,193,A,-20,A,-169,A,506,A,183,A,350,A,-66,A,230,A,113,A,-23,A,67,A,173,A,-55,A,-20,A,469,A,-201,A,-117,A,-17,A,-162,A,-5,A,-86,A,350,A,29,A,247,A,-131,A,358,A,561,A,24,A,524,A,167,A,-56,A,176,A,321,A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFFX-BioB-M_st (endogenous control),AFFX-BioB-M_st,-41,A,19,A,19,A,363,A,155,A,325,A,-115,A,361,A,284,A,-143,A,204,A,208,A,2,A,188,A,205,A,-101,A,-133,A,-209,A,11,A,-127,A,-89,A,-14,A,265,A,100,A,46,A,-190,A,-40,A,255,A,146,A,45,A,-197,A,275,A,19,A,-70,A,-50,A,147,A,226,A,233,A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFFX-BioB-3_st (endogenous control),AFFX-BioB-3_st,-831,A,-743,A,-1135,A,-934,A,-471,A,-631,A,-1003,A,-1001,A,-829,A,-684,A,-524,A,-472,A,-425,A,-625,A,-437,A,-547,A,-959,A,-362,A,-535,A,-539,A,-429,A,-731,A,-600,A,-477,A,-470,A,-308,A,-1250,A,-769,A,-752,A,-902,A,-852,A,-785,A,-669,A,-344,A,-820,A,-841,A,-1010,A,-946,A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
